job_title,company,location,link,description
"Manager, Renewals EMEA",Gitlab,"Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8377074002,
"Manager, Solutions Architects, France",Gitlab,"Remote, France",https://job-boards.greenhouse.io/gitlab/jobs/8372177002,
"New Business Account Executive, DACH",Gitlab,"Remote, Germany",https://job-boards.greenhouse.io/gitlab/jobs/8329516002,
New Business Account Executive - East,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8331196002,
"New Business Account Executive-Financial Services, US",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8210950002,
"New Business Account Executive - Netherlands, Nordics ",Gitlab,"Remote, Netherlands; Remote, Sweden",https://job-boards.greenhouse.io/gitlab/jobs/8329621002,
New Business Account Executive - Singapore,Gitlab,"Remote, Singapore",https://job-boards.greenhouse.io/gitlab/jobs/8346401002,
"New Business Account Executive, UK",Gitlab,"Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8329512002,
New Business Account Executive - West ,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8330519002,
New Business Commercial Account Executive - Paris,Gitlab,"Remote, France",https://job-boards.greenhouse.io/gitlab/jobs/8329580002,
Payroll Specialist,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8385214002,
Presales Consultant  - India ( Dehli ),Gitlab,"Remote, India",https://job-boards.greenhouse.io/gitlab/jobs/8349101002,
Presales Consultant - Japan,Gitlab,"Remote, Japan",https://job-boards.greenhouse.io/gitlab/jobs/8349098002,
"Principal Database Engineer, Data Engineering",Gitlab,"Remote, EMEA; Remote, North America",https://job-boards.greenhouse.io/gitlab/jobs/8231379002,
"Principal Engineer, Infrastructure Platforms",Gitlab,"Remote, Australia; Remote, Canada; Remote, France; Remote, Germany; Remote, India; Remote, Ireland; Remote, Israel; Remote, Japan; Remote, Netherlands; Remote, Singapore; Remote, South Korea; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8366595002,
"Principal Engineer, Software Supply Chain Security",Gitlab,"Remote, Canada; Remote, Israel; Remote, Netherlands; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8373553002,
Principal Field Security Engineer,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8295708002,
Principal Infrastructure Security Engineer,Gitlab,"Remote, APAC; Remote, Canada; Remote, EMEA; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8304223002,
"Principal Product Manager, Security & Compliance",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8332925002,
"Principal Product Marketing Manager, Application Security ",Gitlab,"Remote, Americas",https://job-boards.greenhouse.io/gitlab/jobs/8297604002,
"Principal Product Marketing Manager, DevSecOps Platform",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8372777002,
"Principal Security Engineer, Application Security ",Gitlab,"Remote, Canada; Remote, France; Remote, Germany; Remote, Ireland; Remote, Netherlands; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8196202002,
Principal Solutions Architect,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8341795002,
"Product Designer, Growth Acquisition ",Gitlab,"Remote, Canada; Remote, France; Remote, Ireland; Remote, Netherlands; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8362224002,
"Program Manager, Field Enablement Content - US Remote",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8369679002,
Public Sector Strategic Account Executive - DoD,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8330017002,
Public Sector Strategic Account Executive - Federal Civilian ,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8330035002,
Public Sector Strategic Account Executive - Germany,Gitlab,"Remote, Germany",https://job-boards.greenhouse.io/gitlab/jobs/8321202002,
Public Sector Strategic Account Executive - Intelligence Community,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8158141002,
"Public Sector Strategic Account Executive - SLED, Florida ",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8224598002,
"Public Sector Strategic Account Executive - SLED, Northeast",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8306079002,
"Regional Director Sales, META",Gitlab,"Remote, United Arab Emirates",https://job-boards.greenhouse.io/gitlab/jobs/8379180002,
Regional Marketing Manager,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8329341002,
Renewals Strategy Manager,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8389875002,
Revenue Systems & Processes Manager,Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8392863002,
Sales Analytics Manager,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8315777002,
"Senior Analyst, Analytics and Insights",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8343792002,
"Senior Backend Engineer (Golang), Monitor:Platform Insights",Gitlab,"Remote, APAC",https://job-boards.greenhouse.io/gitlab/jobs/8385348002,
"Senior Backend Engineer (Golang), Software Supply Chain Security: Authentication Infrastructure",Gitlab,"Remote, APAC",https://job-boards.greenhouse.io/gitlab/jobs/8378029002,
"Senior Backend Engineer(Golang),Software Supply Chain Security: Auth Infrastructure",Gitlab,"Remote, Americas; Remote, APAC; Remote, Canada",https://job-boards.greenhouse.io/gitlab/jobs/8157520002,
"Senior Backend Engineer (Ruby on Rails), Verify: Pipeline Execution",Gitlab,"Remote, APAC; Remote, Canada; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8307019002,
"Senior Backend Engineer (Ruby), Tenant Scale, Geo",Gitlab,"Remote, Americas; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8291374002,
"Senior Backend (Go) Engineer, Gitlab Delivery -Operate",Gitlab,"Remote, Americas; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8323728002,
Senior Customer Success Analytics Analyst,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8315791002,
Senior Customer Success Manager,Gitlab,"Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8329437002,
